URL,Size (bytes),Outgoing Links,Content Type
https://www.nytimes.com/wirecutter/home-garden/gardening/,216381,251,text/html
https://www.nytimes.com/wirecutter/reviews/best-treadmill/,380045,268,text/html
https://www.nytimes.com/wirecutter/reviews/best-cloth-face-masks/,774251,430,text/html
https://www.nytimes.com/wirecutter/kitchen-dining/wine-bar/,130205,207,text/html
https://www.nytimes.com/wirecutter/kitchen-dining/,317457,307,text/html
https://www.nytimes.com/wirecutter/blog/yes-i-work-at-wirecutter-no-we-dont-get-a-bunch-of-free-stuff/,126798,213,text/html
https://www.nytimes.com/wirecutter/travel/,197715,250,text/html
https://www.nytimes.com/wirecutter/office/,213444,244,text/html
https://www.nytimes.com/wirecutter/blog/our-expert-sources/,118316,208,text/html
https://www.nytimes.com/wirecutter/reviews/best-office-chair/,470054,282,text/html
https://www.nytimes.com/wirecutter/reviews/best-fireproof-document-safe/,379457,260,text/html
https://www.nytimes.com/wirecutter/pets/cats/,163029,233,text/html
https://www.nytimes.com/wirecutter/pets/,194325,247,text/html
https://www.nytimes.com/wirecutter/reviews/best-headlamp/,403218,259,text/html
https://www.nytimes.com/wirecutter/electronics/storage-devices/,127666,206,text/html
https://www.nytimes.com/wirecutter/baby-kid/baby/,212675,279,text/html
https://www.nytimes.com/wirecutter/home-garden/smart-home/,255912,265,text/html
https://www.nytimes.com/wirecutter/kitchen-dining/entertaining/,203773,259,text/html
https://www.nytimes.com/sitemap/1859/,92387,45,text/html
https://www.nytimes.com/sitemap/1891/,92387,45,text/html
https://www.nytimes.com/sitemap/1920/,92387,45,text/html
https://www.nytimes.com/sitemap/1858/,92387,45,text/html
https://www.nytimes.com/sitemap/1979/,92387,45,text/html
https://www.nytimes.com/sitemap/1967/,92387,45,text/html
https://www.nytimes.com/sitemap/1955/,92387,45,text/html
https://www.nytimes.com/sitemap/1943/,92387,45,text/html
https://www.nytimes.com/sitemap/1931/,92387,45,text/html
https://www.nytimes.com/sitemap/1890/,92387,45,text/html
https://www.nytimes.com/sitemap/1869/,92387,45,text/html
https://www.nytimes.com/sitemap/1857/,92387,45,text/html
https://www.nytimes.com/sitemap/1978/,91794,43,text/html
https://www.nytimes.com/sitemap/1966/,92387,45,text/html
https://www.nytimes.com/sitemap/1954/,92387,45,text/html
https://www.nytimes.com/sitemap/2009/,92387,45,text/html
https://www.nytimes.com/sitemap/1942/,92387,45,text/html
https://www.nytimes.com/sitemap/1930/,92387,45,text/html
https://www.nytimes.com/by/charles-m-blow,299950,56,text/html
https://www.nytimes.com/2020/11/04/opinion/election-2020-exit-polls.html,376782,57,text/html
https://www.nytimes.com/2021/08/26/books/september-books.html,619592,88,text/html
https://www.nytimes.com/section/books/review,505736,104,text/html
https://www.nytimes.com/2021/01/25/books/great-book-reviews.html,908409,74,text/html
https://www.nytimes.com/2021/05/19/books/summer-books.html,660023,92,text/html
https://www.nytimes.com/column/book-review-podcast,277930,59,text/html
https://www.nytimes.com/by/benoit-denizet-lewis,249942,54,text/html
https://www.nytimes.com/column/wordplay,396482,80,text/html
https://www.nytimes.com/subscription/games/gift,18632,11,text/html
https://www.nytimes.com/crosswords/apps,444540,40,text/html
https://www.nytimes.com/subscription/games?campaignId=9W9LL,23717,13,text/html
https://www.nytimes.com/puzzles/submissions/crossword,59415,44,text/html
https://www.nytimes.com/guides/crosswords/how-to-solve-a-crossword-puzzle,317565,48,text/html
https://www.nytimes.com/puzzles/stats,56891,38,text/html
https://www.nytimes.com/crosswords/game/mini,471950,38,text/html
https://www.nytimes.com/puzzles/sudoku,53554,39,text/html
https://www.nytimes.com/games-assets/v2/metadata/tls-apple-touch-icon.png?v=v7.26.1,5138,0,image/png
https://www.nytimes.com/subscription/games?campaignId=4QHQ8,23717,13,text/html
https://www.nytimes.com/newsletters/regilite/button?product=WIN&theme=Transparent&landing=true&addSlot=true&app=newsletter&sourceApp=nyt-v5&title=With%20Interest,1386,3,text/html
https://www.nytimes.com/2021/09/14/upshot/biden-jerome-powell-fed.html,373701,55,text/html
https://www.nytimes.com/international/section/business,914246,111,text/html
https://www.nytimes.com/2021/09/15/business/walmart-self-driving-delivery-ford.html,324413,42,text/html
https://www.nytimes.com/2021/09/14/us/house-bill-global-tax.html,348981,55,text/html
https://www.nytimes.com/2021/09/15/business/kansas-city-southern-canadian-pacific-merger.html,294517,51,text/html
https://www.nytimes.com/by/vanessa-barbara,278869,50,text/html
https://www.nytimes.com/2021/09/06/us/alex-murdaugh-murders-law-firm.html,322224,50,text/html
https://www.nytimes.com/2021/06/23/us/murdaugh-murder-south-carolina.html?action=click&module=RelatedLinks&pgtype=Article,393258,48,text/html
https://www.nytimes.com/by/nicholas-bogel-burroughs,262387,53,text/html
https://www.nytimes.com/2019/08/10/nyregion/jeffrey-epstein-suicide.html,536489,77,text/html
https://www.nytimes.com/2021/08/09/nyregion/virginia-giuffre-prince-andrew.html,332528,57,text/html
https://www.nytimes.com/2019/11/20/world/europe/prince-andrew-quits-epstein.html,405749,57,text/html
https://www.nytimes.com/2020/07/02/nyregion/ghislaine-maxwell-arrest-jeffrey-epstein.html,552654,66,text/html
https://www.nytimes.com/by/benjamin-weiser,421450,55,text/html
https://www.nytimes.com/section/health/policy,472068,57,text/html
https://www.nytimes.com/live/2021/09/12/world/covid-delta-variant-vaccine/vaccines-kids-october-available,1048576,157,text/html
https://www.nytimes.com/2021/09/12/health/afghanistan-health-taliban.html,381698,45,text/html
https://www.nytimes.com/section/sports/golf,361253,62,text/html
https://www.nytimes.com/section/sports/football,564897,62,text/html
https://www.nytimes.com/section/sports/ncaabasketball,430493,62,text/html
https://www.nytimes.com/section/sports/baseball,607878,90,text/html
https://www.nytimes.com/section/sports/hockey,466036,62,text/html
https://www.nytimes.com/section/sports/basketball,471935,62,text/html
https://www.nytimes.com/section/sports/ncaafootball,436419,62,text/html
https://www.nytimes.com/section/sports/tennis,550681,62,text/html
https://www.nytimes.com/games-assets/v2/metadata/sb-apple-touch-icon.png?v=v7.26.1,6977,0,image/png
https://www.nytimes.com/live/2021/09/13/world/covid-delta-variant-vaccine/fauci-vaccine-air-travel,1048576,210,text/html
https://www.nytimes.com/2021/09/08/travel/gallipoli-turkey-WWI-park.html,464370,52,text/html
https://www.nytimes.com/interactive/2021/09/03/travel/world-through-a-lens.html,232996,45,text/html
https://www.nytimes.com/article/coronavirus-travel-restrictions.html,1048576,245,text/html
https://www.nytimes.com/section/realestate/mortgage-calculator,310322,52,text/html
https://www.nytimes.com/section/realestate/the-high-end,391648,77,text/html
